volume,start_date,end_date
1,"1 APRIL 1884", "30 NOVEMBER, 1896"
2,"13 JANUARY, 1879", "11 JULY, 1902"
3,"1 AUGUST, 1902","21 MAY, 1904"
4,"23 MAY, 1904","4 NOVEMBER, 1905"
5,"6 NOVEMBER, 1905","3 NOVEMBER, 1906"
6,"5 NOVEMBER, 1906","12 JUNE, 1907"
7,"15 JUNE, 1907","12 DECEMBER, 1907"
8,"14 DECEMBER, 1907","22 JULY, 1908"
9,"23 JULY, 1908","4 AUGUST, 1909"
10,"5 AUGUST, 1909","9 APRIL, 1910"
11,"11 APRIL, 1910","12 JULY, 1911"
12,"15 JULY, 1911","8 MARCH, 1913"
13,"12 MARCH, 1913","25 DECEMBER, 1913"
14,"26 DECEMBER, 1913","20 MAY, 1915"
15,"21 MAY, 1915","31 AUGUST, 1917"
16,"1 SEPTEMBER, 1917","23 APRIL, 1918"
17,"26 APRIL, 1918","20 MAY, 1919"
18,"1 MAY, 1919","28 SEPTEMBER, 1919"
19,"29 SEPTEMBER, 1919","24 MARCH, 1920"
20,"25 MARCH, 1920","20 JULY, 1920"
21,"1 JULY, 1920","21 NOVEMBER, 1920"
22,"23 NOVEMBER, 1920","5 APRIL, 1921"
23,"6 APRIL, 1921","21 JULY, 1921"
24,"22 JULY, 1921","25 OCTOBER, 1921"
25,"27 OCTOBER, 1921","22 JANUARY, 1922"
26,"24 JANUARY, 1922","12 NOVEMBER, 1923"
27,"12 JANUARY, 1924","21 MAY, 1924"
28,"22 MAY, 1924","15 AUGUST, 1924"
29,"16 AUGUST, 1924","26 DECEMBER, 1924"
30,"27 DECEMBER, 1924","21 MARCH, 1925"
31,"22 MARCH, 1925","15 JUNE, 1925"
32,"17 JUNE, 1925","24 SEPTEMBER, 1925"
33,"25 SEPTEMBER, 1925","10 FEBRUARY, 1926"
34,"11 FEBRUARY, 1926","1 APRIL, 1926"
35,"2 APRIL, 1926","7 JULY, 1926"
36,"8 JULY, 1926","10 NOVEMBER, 1926"
37,"11 NOVEMBER, 1926","1 JANUARY, 1927"
38,"2 JANUARY, 1927","3 JUNE, 1927"
39,"4 JUNE, 1927","1 SEPTEMBER, 1927"
40,"2 SEPTEMBER, 1927","1 DECEMBER, 1927"
41,"3 DECEMBER, 1927","1 MAY, 1928"
42,"2 MAY, 1928","9 SEPTEMBER, 1928"
43,"10 SEPTEMBER, 1928","14 JANUARY, 1929"
44,"16 JANUARY, 1929","3 FEBRUARY, 1929"
45,"4 FEBRUARY, 1929","11 MAY, 1929"
46,"12 MAY, 1929","31 AUGUST, 1929"
47,"1 SEPTEMBER, 1929","20 NOVEMBER, 1929"
48,"21 NOVEMBER, 1929","2 APRIL, 1930"
49,"3 APRIL, 1930","22 AUGUST, 1930"
50,"23 AUGUST, 1930","5 JANUARY, 1931"
51,"6 JANUARY, 1931","28 APRIL, 1931"
52,"28 APRIL, 1931","1 JULY, 1931"
53,"2 JULY, 1931","12 OCTOBER, 1931"
54,"13 OCTOBER, 1931","8 FEBRUARY, 1932"
55,"10 FEBRUARY, 1932","15 JUNE, 1932"
56,"16 JUNE, 1932","4 SEPTEMBER, 1932"
57,"5 SEPTEMBER, 1932","15 NOVEMBER, 1932"
58,"16 NOVEMBER, 1932","14 JANUARY, 1933"
59,"13 JANUARY, 1933","9 MARCH, 1933"
60,"10 MARCH, 1933","26 APRIL, 1933"
61,"27 APRIL, 1933","7 OCTOBER, 1933"
62,"8 OCTOBER, 1933","17 JANUARY, 1934"
63,"18 JANUARY, 1934","19 MAY, 1934"
64,"20 MAY, 1934","15 SEPTEMBER, 1934"
65,"16 SEPTEMBER, 1934","15 DECEMBER, 1934"
66,"16 DECEMBER, 1934","24 APRIL, 1935"
67,"25 APRIL, 1935","22 SEPTEMBER, 1935"
68,"23 SEPTEMBER, 1935","15 MAY, 1936"
69,"16 MAY, 1936","19 OCTOBER, 1936"
70,"21 OCTOBER, 1936","24 FEBRUARY, 1937"
71,"25 FEBRUARY, 1937","5 JULY, 1937"
72,"6 JULY, 1937","20 FEBRUARY, 1938"
73,"21 FEBRUARY, 1938","8 SEPTEMBER, 1938"
74,"9 SEPTEMBER, 1938","29 JANUARY, 1939"
75,"30 JANUARY, 1939","30 MAY, 1939"
76,"31 MAY, 1939","15 OCTOBER, 1939"
77,"16 OCTOBER, 1939","22 FEBRUARY, 1940"
78,"23 FEBRUARY, 1940","15 JULY, 1940"
79,"16 JULY, 1940","27 DECEMBER, 1940"
80,"28 DECEMBER, 1940","17 AUGUST, 1941"
81,"18 AUGUST, 1941","8 FEBRUARY, 1942"
82,"9 FEBRUARY, 1942","6 JUNE, 1942"
83,"7 JUNE, 1942","26 JANUARY, 1944"
84,"27 JANUARY, 1944","1 OCTOBER, 1944"
85,"2 OCTOBER, 1944","3 MARCH, 1945"
86,"4 MARCH, 1945","28 MAY, 1945"
87,"29 MAY, 1945","29 AUGUST, 1945"
88,"30 AUGUST, 1945","6 DECEMBER, 1945"
89,"7 DECEMBER, 1945","24 FEBRUARY, 1946"
90,"25 FEBRUARY, 1946","19 MAY, 1946"
91,"20 MAY, 1946","8 AUGUST, 1946"
92,"9 AUGUST, 1946","6 NOVEMBER, 1946"
93,"7 NOVEMBER, 1946","16 FEBRUARY, 1947"
94,"17 FEBRUARY, 1947","29 APRIL, 1947"
95,"30 APRIL, 1947","6 JULY, 1947"
96,"7 JULY, 1947","26 SEPTEMBER, 1947"
97,"27 SEPTEMBER, 1947","5 DECEMBER, 1947"
98,"6 DECEMBER, 1947","30 JANUARY, 1948"
